Mat,No.,ID,Qn,Q,Pt,SOC,SOE,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,SOH
NMC,52,J2-100,2.1,1.9156,5,45,41.04857143,3.8054,3.8237,3.8306,3.8126,3.8073,3.7903,3.7822,3.8008,3.8048,3.8408,3.855,3.8182,3.8089,3.7723,3.7586,3.7949,3.8042,3.873,3.9031,3.8324,3.8123,0.912190476
NMC,53,J2-200,2.1,1.8418,5,45,39.46714286,3.8259,3.8442,3.8504,3.8324,3.8278,3.8101,3.8033,3.8209,3.8253,3.8609,3.8743,3.8383,3.8293,3.7934,3.7803,3.8169,3.8247,3.8966,3.9217,3.8519,3.8324,0.877047619
NMC,54,J2-300,2.1,1.7876,5,45,38.30571429,3.8498,3.8674,3.8736,3.8563,3.8516,3.8358,3.8281,3.8454,3.8495,3.8842,3.8966,3.8622,3.8529,3.8182,3.8054,3.8405,3.8485,3.9183,3.9425,3.8733,3.856,0.851238095
NMC,55,J2-400,2.1,1.7164,5,45,36.78,3.8578,3.8749,3.8808,3.8643,3.8597,3.8426,3.8361,3.8535,3.8569,3.8907,3.9031,3.8693,3.8609,3.8265,3.8144,3.8488,3.8557,3.9245,3.9474,3.8808,3.864,0.817333333
NMC,56,J2-500,2.1,1.5775,5,45,33.80357143,3.8715,3.8873,3.895,3.8783,3.8733,3.856,3.8492,3.8665,3.8705,3.9056,3.9177,3.8829,3.8746,3.8405,3.8271,3.8625,3.8696,3.936,3.9629,3.896,3.8786,0.751190476
NMC,57,J2-600,2.1,1.4437,5,45,30.93642857,3.895,3.913,3.9195,3.9015,3.8966,3.8783,3.8718,3.8901,3.8938,3.9291,3.9431,3.9084,3.8978,3.8634,3.8485,3.8851,3.8926,3.966,3.9905,3.9189,3.9009,0.68747619
NMC,58,J3-200,2.1,1.8194,5,45,38.98714286,3.8318,3.8482,3.8544,3.8377,3.8333,3.8166,3.8104,3.8268,3.8309,3.864,3.8761,3.8433,3.8346,3.8014,3.7893,3.8225,3.8296,3.8947,3.9198,3.8544,3.8377,0.866380952
NMC,59,J3-300,2.1,1.7594,5,45,37.70142857,3.8569,3.8733,3.8795,3.8634,3.8585,3.8423,3.8358,3.8526,3.856,3.8888,3.9012,3.8687,3.8603,3.8271,3.8151,3.8479,3.8554,3.9198,3.9446,3.8802,3.8628,0.837809524
NMC,60,J3-400,2.1,1.6817,5,45,36.03642857,3.864,3.8798,3.8864,3.8702,3.8656,3.8498,3.8439,3.86,3.8637,3.896,3.9074,3.8755,3.8668,3.8346,3.8234,3.8557,3.8628,3.9273,3.9499,3.886,3.8699,0.800809524
NMC,61,J3-500,2.1,1.4958,5,45,32.05285714,3.8935,3.9105,3.9167,3.8994,3.895,3.8783,3.8718,3.8891,3.8926,3.9251,3.9388,3.9046,3.896,3.8622,3.8501,3.8833,3.8916,3.9574,3.9837,3.9161,3.8988,0.712285714
